0,Station Name,Station No.,Station ID,Station Type,Station Easting,Station Northing
1,Aberuthven,14969,36744,Flow,297508.0007,715378.9996
2,Abington,322551,37602,Flow,293271.0008,622755.9998
3,Aboyne,302205,37582,Flow,353320.0008,798736.0002
4,Airyhemming,133141,36258,Flow,218008.0007,559890.9998
5,Alford,234170,37182,Flow,356818.0008,817071.9999
6,Allnabad,234151,37138,Flow,245314.0007,942894.9997
7,Allt a' Ghlas-charnaich,368538,37970,Flow,231129.0007,872375.0001
8,Almondbank,14954,36688,Flow,306715.0007,725811.0003
9,Almondell,14869,36404,Flow,308623.0008,668601.0003
10,Alness,234152,37144,Flow,265467.0007,869597.9999
11,Ancrum,15002,36834,Flow,363421.0008,624450.9996
12,Anie,14888,36462,Flow,258523.0007,709613.0003
13,Apigill,234153,37148,Flow,271363.0008,956765.0006
14,Arbroath,14922,36574,Flow,363954.0008,741851.9995
15,Ardachy Bridge,234155,37156,Flow,237989.0007,807472.9999
16,Ariundle,234157,37160,Flow,182387.0007,762932.0001
17,Athelstaneford,372871,37998,Flow,354157.0008,677164.0003
18,Auchendrane,133060,36008,Flow,233783.0007,616034.9994
19,Auchengeich,133061,36012,Flow,267977.0007,671608.9998
20,Avochie,234161,37164,Flow,353217.0008,846431.0005
21,Balfour Mains,14894,36486,Flow,332965.0008,699648.9999
22,Ballachraggan,516803,38270,Flow,313174.0007,849606.0001
23,Ballathie,14937,36630,Flow,314750.0008,736679.9995
24,Balmossie,14919,36564,Flow,347644.0008,732507.9997
25,Balnaan,234163,37170,Flow,297720.0008,824784.0001
26,Balnafoich,206846,37128,Flow,268563.0007,835165.9999
27,Balnowlart,133062,36016,Flow,210749.0007,583221.9993
28,Bannockburn,14897,36494,Flow,281161.0007,690813.9995
29,Barnaline Lodge,133063,36020,Flow,197143.0007,713971.9995
30,Beattock,133143,36266,Flow,307639.0008,602920.9998
31,Blairston,133064,36024,Flow,270435.0008,657942
32,Boat o  Brig,234167,37174,Flow,331850.0008,851788.0003
33,Boat of Garten,234168,37178,Flow,294699.0008,819140.0006
34,Boleside,533744,38340,Flow,349749.0008,633401.9994
35,Bonnybridge,14885,36450,Flow,282421.0007,680370.9996
36,Borgie Bridge,234334,37562,Flow,267229.0008,958834.0005
37,Braevallich,133065,36028,Flow,195706.0007,707536.0004
38,Brechin,14917,36556,Flow,359962.0008,759665.0002
39,Bridge of Allan,14889,36466,Flow,278591.0007,697983.9999
40,Bridge of Teith,14887,36458,Flow,272519.0007,701135.9994
41,Bridgemuir,133145,36276,Flow,309070.0008,584484.9996
42,Bridgend,133066,36032,Flow,267150.0007,674944.0004
43,Brighouse Burn,321630,37598,Flow,263946.0007,545806.0001
44,Brockhoperig,14987,36804,Flow,323384.0008,613133.9999
45,Brodie,234173,37192,Flow,297947.0007,857110.9998
46,Broxmouth,15029,36880,Flow,369732.0008,677641.0003
47,Bruachrobie,234174,37196,Flow,289156.0008,903916.0007
48,Brydekirk,133146,36280,Flow,319047.0008,570414.0003
49,Burrelton Burn,368492,37950,Flow,320452.0008,737321.9995
50,Cabrach,234176,37200,Flow,337839.0008,829101.9999
51,Cademuir,14977,36778,Flow,321737.0008,636889
52,Calderpark,133069,36036,Flow,268097.0007,662490.0001
53,Camisky,234178,37206,Flow,214456.0007,780478.0003
54,Candermill,133070,36040,Flow,276486.0007,647023.9994
55,Canonbie,133148,36284,Flow,339668.0008,575053.0002
56,Capenoch,133149,36288,Flow,284526.0007,594077.9997
57,Caputh,14936,36626,Flow,308289.0008,739574.9998
58,Carron (Stonehaven),320374,37594,Flow,386951.0008,785685
59,Carron upstream (Stonehaven),565197,38444,Flow,386735.0009,785612.9997
60,Castle O'er,506142,38210,Flow,325032.0008,592711.0001
61,Castlehill Reservoir,14908,36524,Flow,300300.0008,703012.9999
62,Catrine,133071,36044,Flow,252522.0007,625909
63,Caulkerbush,116013,35982,Flow,292841.0008,557282.9997
