0,Station Name,Station No.,Station ID,Station Type,Station Easting,Station Northing
1,Abbey St Bathans,15018,36870,Level,375842.0008,662300.9998
2,Aberlour,234150,37132,Level,327785.0008,843972.0003
3,Aberuchill,14966,36730,Level,275383.0007,721660.9999
4,Aberuthven,14969,36744,Level,297508.0007,715378.9996
5,Abington,322551,37602,Level,293271.0008,622755.9998
6,Aboyne,302205,37582,Level,353320.0008,798736.0002
7,Airyhemming,133141,36258,Level,218008.0007,559890.9998
8,Alford,234170,37182,Level,356818.0008,817071.9999
9,Allnabad,234151,37138,Level,245314.0007,942894.9997
10,Allt a' Ghlas-charnaich,368538,37970,Level,231129.0007,872375.0001
11,Almondbank,14954,36688,Level,306715.0007,725811.0003
12,Almondbank at Main Street,535347,38350,Level,306565.0007,726025.9997
13,Almondell,14869,36404,Level,308623.0008,668601.0003
14,Alness,234152,37144,Level,265467.0007,869597.9999
15,Ancrum,15002,36834,Level,363421.0008,624450.9996
16,Anie,14888,36462,Level,258523.0007,709613.0003
17,Apigill,234153,37148,Level,271363.0008,956765.0006
18,Arbroath,14922,36574,Level,363954.0008,741851.9995
19,Arcan Spillway,234154,37152,Level,247461.0007,854338.0001
20,Ardachy Bridge,234155,37156,Level,237989.0007,807472.9999
21,Ariundle,234157,37160,Level,182387.0007,762932.0001
22,Athelstaneford,372871,37998,Level,354157.0008,677164.0003
23,Auchendrane,133060,36008,Level,233783.0007,616034.9994
24,Auchengeich,133061,36012,Level,267977.0007,671608.9998
25,Auchinner,14964,36720,Level,269449.0007,715824.9994
26,Auchnafree,14952,36678,Level,282768.0007,732837.9995
27,Avochie,234161,37164,Level,353217.0008,846431.0005
28,Avonbank,322556,37610,Level,271040.0007,643014.9999
29,Balbrogie,14947,36654,Level,323860.0008,742946
30,Balfour Mains,14894,36486,Level,332965.0008,699648.9999
31,Ballachraggan,516803,38270,Level,313174.0007,849606.0001
32,Ballathie,14937,36630,Level,314750.0008,736679.9995
33,Balmacneil,14938,36634,Level,298026.0008,750841.0004
34,Balmossie,14919,36564,Level,347644.0008,732507.9997
35,Balnaan,234163,37170,Level,297720.0008,824784.0001
36,Balnafoich,206846,37128,Level,268563.0007,835165.9999
37,Balnowlart,133062,36016,Level,210749.0007,583221.9993
38,Bannockburn,14897,36494,Level,281161.0007,690813.9995
39,Barnaline Lodge,133063,36020,Level,197143.0007,713971.9995
40,Barsolus,133142,36262,Level,210699.0007,556332.9997
41,Beattock,133143,36266,Level,307639.0008,602920.9998
42,Blairston,133064,36024,Level,270435.0008,657942
43,Boat o  Brig,234167,37174,Level,331850.0008,851788.0003
44,Boat of Garten,234168,37178,Level,294699.0008,819140.0006
45,Boleside,533744,38340,Level,349749.0008,633401.9994
46,Bonnybridge,14885,36450,Level,282421.0007,680370.9996
47,Borgie Bridge,234334,37562,Level,267229.0008,958834.0005
48,Braevallich,133065,36028,Level,195706.0007,707536.0004
49,Braidlie,133144,36270,Level,347670.0008,596673.0001
50,Brechin,14917,36556,Level,359962.0008,759665.0002
51,Bridge of Allan,14889,36466,Level,278591.0007,697983.9999
52,Bridge of Earn,14971,36752,Level,313415.0007,718370.9996
53,Bridge of Oich,234172,37188,Level,233825.0007,803490.0001
54,Bridge of Teith,14887,36458,Level,272519.0007,701135.9994
55,Bridgemuir,133145,36276,Level,309070.0008,584484.9996
56,Bridgend,133066,36032,Level,267150.0007,674944.0004
57,Brighouse Burn,321630,37598,Level,263946.0007,545806.0001
58,Brockhoperig,14987,36804,Level,323384.0008,613133.9999
59,Brodie,234173,37192,Level,297947.0007,857110.9998
60,Broxmouth,15029,36880,Level,369732.0008,677641.0003
61,Bruachrobie,234174,37196,Level,289156.0008,903916.0007
62,Brydekirk,133146,36280,Level,319047.0008,570414.0003
63,Burrelton Burn,368492,37950,Level,320452.0008,737321.9995
64,Cabrach,234176,37200,Level,337839.0008,829101.9999
65,Cademuir,14977,36778,Level,321737.0008,636889
66,Calderpark,133069,36036,Level,268097.0007,662490.0001
67,Callander,14911,36532,Level,262833.0007,707734.9997
68,Camisky,234178,37206,Level,214456.0007,780478.0003
69,Camusvrachan,14950,36670,Level,261952.0007,747653.9997
70,Candermill,133070,36040,Level,276486.0007,647023.9994
71,Canonbie,133148,36284,Level,339668.0008,575053.0002
72,Capenoch,133149,36288,Level,284526.0007,594077.9997
73,Caputh,14936,36626,Level,308289.0008,739574.9998
74,Carron (Stonehaven),320374,37594,Level,386951.0008,785685
75,Carron upstream (Stonehaven),565197,38444,Level,386735.0009,785612.9997
76,Castle O'er,506142,38210,Level,325032.0008,592711.0001
77,Castlehill Reservoir,14908,36524,Level,300300.0008,703012.9999
78,Catrine,133071,36044,Level,252522.0007,625909
79,Caulkerbush,116013,35982,Level,292841.0008,557282.9997
80,Chapeltoun Gauging Station,541851,38390,Level,239390.0007,644116.9996
81,Charr,234183,37210,Level,362411.0008,783456.9996
82,Chesters,15004,36838,Level,362737.0008,609563.9994
83,Claggan,116011,35978,Level,211592.0007,774256.9996
84,Cleuchhead,499810,38178,Level,376449.0008,784121.0006
85,Coldstream,15013,36858,Level,383950.0008,639612.0004
86,Colinton,14880,36428,Level,321190.0008,668791.9994
87,Colliston,14921,36568,Level,360946.0008,746640.9996
88,Comrie Bridge,14951,36674,Level,278529.0007,748684
89,Condorrat,133072,36048,Level,273917.0008,672559.0005
90,Conon Bridge,234185,37222,Level,254128.0007,855887.0002
91,Corrievuic,472872,38070,Level,220290.0007,851010.0006
92,Cowbridge,5981,38480,Level,333881.0008,667614.9996
93,Craig Douglas,14983,279917,Level,328951.62,624446.89
94,Craigard,234189,37232,Level,228985.0007,800708.9998
95,Craigend,133073,36052,Level,241470.0008,666386.0005
96,Craigendarroch,356326,37876,Level,169740.0007,748290.0001
97,Craigforth,4638,38042,Level,277658.0008,695457.9999
98,Craighall (Perth),14956,36698,Level,317405.0008,747164.9999
