0,Station Name,Station No.,Station ID,Station Type,Station Easting,Station Northing
1,Abbey St Bathans,15018,36870,Rain,375842.0008,662300.9998
2,Aberlour,234150,37132,Rain,327785.0008,843972.0003
3,Achfarry,115300,35592,Rain,229242.0007,939522.0007
4,Affric Lodge,115301,35596,Rain,218810.0007,823120.0005
5,Alford,234170,37182,Rain,356818.0008,817071.9999
6,Allanfearn,115302,35600,Rain,271160.0007,847479.9998
7,Allnabad,234151,37138,Rain,245314.0007,942894.9997
8,Allt Dearg House,115304,35604,Rain,147780.0006,829350.0002
9,Amlaird,115500,35724,Rain,248319.0007,644433.9994
10,Amod Farm,115501,35728,Rain,164399.0007,612524.9996
11,Anaheilt,115307,35608,Rain,181470.0007,762380.0004
12,Annfield,15198,37068,Rain,314700.0007,686799.9994
13,Ashgrove,115506,35732,Rain,226646.0007,644511
14,Auchdergannach,491811,38134,Rain,300345.0008,815641.9999
15,Auchentroig,15163,37032,Rain,254442.0007,693523.9996
16,Auchinner,14964,36720,Rain,269449.0007,715824.9994
17,Auchnafree,14952,36678,Rain,282768.0007,732837.9995
18,Avochie,234161,37164,Rain,353217.0008,846431.0005
19,Avonbank,322556,37610,Rain,271040.0007,643014.9999
20,Ayton Castle,15132,37004,Rain,392922.0008,661569
21,Badbea,518147,38286,Rain,203221.0007,890713.9998
22,Baddinsgill Reservoir,15103,36956,Rain,312637.0008,655388.0001
23,Baintown Rain-gauge,501947,38184,Rain,335440.0008,703650.0003
24,Balfron STW,517412,38274,Rain,254829.0007,688276.9999
25,Balgray RG,490985,38126,Rain,237608.0007,652021.9999
26,Ballindalloch Stables,115509,35736,Rain,254138.0008,688621.0005
27,Balmedie STW,115202,35508,Rain,397240.0008,817710.0001
28,Baluniefield,374852,38002,Rain,344325.0008,732649.0001
29,Bankfoot,15065,36912,Rain,306759.0008,735535.9999
30,Bannockburn,14897,36494,Rain,281161.0007,690813.9995
31,Barwhillanty,115512,35740,Rain,272383.0007,570699.9993
32,Battledykes - Wardmill Farm,499809,38174,Rain,345220.0008,753894.9995
33,Beltmoss,327235,37632,Rain,271800.0008,679000.0005
34,Biggar Burn,368536,37966,Rain,302951.0008,640726.9995
35,Birkie Hue,320371,37590,Rain,121307.0006,929438
36,Blackdyke Farm,115516,35744,Rain,253265.0007,628638.0001
37,Blackhills No 2,115203,35512,Rain,327037.0008,858455.9996
38,Blacklaw,335578,282386,Rain,364205,854700
39,Blair Castle No 2,15060,36900,Rain,286496.0007,766250.9997
40,Blairdaff,115204,35516,Rain,369612.0008,817641.0002
41,Blairgowrie,15063,36908,Rain,317500.0008,746600.0004
42,Blythe,15116,36972,Rain,358514.0008,649541.9996
43,Bogmore,115206,35520,Rain,360724.0008,790428.0003
44,Bogmuchals,115207,35524,Rain,353721.0008,858379.0006
45,Boleside,533744,38340,Rain,349749.0008,633401.9994
46,Boreland,115518,35748,Rain,316081.0008,590605
47,Braco (Dunduff),15161,37028,Rain,282207.0008,711570.0003
48,Braeroy Lodge,115315,35612,Rain,233690.0007,791549.9997
49,Braidlie,133144,36270,Rain,347670.0008,596673.0001
50,Brechin STW,15058,36896,Rain,361907.0008,759236
51,Brigton,115521,35752,Rain,236103.0007,574487.0002
52,Broadside,335609,37668,Rain,276820.0008,683449.9996
53,Brockhoperig,14987,36804,Rain,323384.0008,613133.9999
54,Burnfoot (Hawknest),115523,35756,Rain,280851.0007,642920.9998
55,Bush,335612,37672,Rain,324580.0008,663850.0001
56,Cabrach,234176,37200,Rain,337839.0008,829101.9999
57,Cairngorm Raingauge and Snow Scale,523676,38310,Rain,299427.0008,805314.0005
58,Caldercruix STW,115526,35760,Rain,280981.0008,667883.9999
59,Cambo Sands,338380,37784,Rain,359870.0008,712240.0005
60,Camphill WTW Raingauge,490984,38122,Rain,227840.0007,654185.0003
