0,Station Name,Station No.,Station ID,Station Type,Station Easting,Station Northing
1,ArbroathTidal,336675,37766,TidalLevel,364257.0008,740543.9998
2,Berneray Tide Gauge,511675,38256,TidalLevel,92270.00066,881142
3,Buckie,116009,35972,TidalLevel,343200.0008,866060.0004
4,Clachnaharry,234184,37216,TidalLevel,264450.0007,846735.0001
5,Corpach,234187,37226,TidalLevel,209561.0007,776610.9997
6,Cromarty,492364,38142,TidalLevel,278546.0008,867713.0005
7,Eriskay Tide Gauge,511674,38250,TidalLevel,78375.0007,810257.0001
8,Eyemouth Tide Gauge,525180,38314,TidalLevel,394693.0008,664411.9997
9,Girvan Tide Gauge,133137,36240,TidalLevel,218302.0007,598157.0003
10,Gourock Tide Gauge,363624,37900,TidalLevel,224420.0007,677720.0001
11,Kingairloch Tide Gauge,494728,38156,TidalLevel,185158.0007,752637.9996
12,Kingston Tide Gauge,503411,38196,TidalLevel,333984.0008,865351.9999
13,Kirkcudbright Bay Tide Gauge,506171,38226,TidalLevel,267505.0008,546375.0001
14,Kirkwall Tide Gauge,536545,38364,TidalLevel,344907.0008,1011319
15,Musselburgh Tidal,341339,37804,TidalLevel,334608.0008,673184.0002
16,Newport,14914,36540,TidalLevel,341790.0008,727648.9996
17,Oban Tidal,490749,38116,TidalLevel,185375.0006,729810.9998
18,Renfrew Tide Gauge,133138,36246,TidalLevel,251055.0007,668370.0002
19,Rothesay Tide Gauge,133139,36252,TidalLevel,208960.0007,664838
20,Stranraer Tide Gauge,557485,38418,TidalLevel,205859.0007,561038.9999
21,Stromness Tide Gauge,536544,38358,TidalLevel,325500.0007,1009031
22,Tarbert Tidal,116037,35990,TidalLevel,186647.0007,668748
